customer_id,join_date,region,age_group,churn
484,2023-09-23,North,50+,0
485,2023-12-20,North,50+,1
486,2023-04-11,South,36-50,0
487,2023-02-01,North,36-50,0
488,2023-08-28,West,18-25,0
489,2023-11-05,West,36-50,1
490,2023-04-16,South,18-25,0
491,2023-02-16,North,26-35,0
492,2023-01-05,West,36-50,0
493,2023-05-01,North,26-35,0
494,2023-09-03,West,26-35,0
495,2023-01-05,East,36-50,0
496,2023-05-08,North,50+,0
497,2023-05-18,North,18-25,0
498,2023-10-19,North,26-35,1
499,2023-09-11,South,26-35,1
